"Line","BoardingTime","PassengerCount"
"VL13","2019-12-18T11:30",141
"VL13A","2019-12-18T11:30",171
"VML54","2019-12-18T11:30",37
"VML55A","2019-12-18T11:30",60
"VS18","2019-12-18T11:30",253
"511","2019-12-18T12:00",119
"AC03","2019-12-18T12:00",137
"AF04","2019-12-18T12:00",121
"AF04A","2019-12-18T12:00",100
"CV14","2019-12-18T12:00",189
"CV47","2019-12-18T12:00",174
"CV48","2019-12-18T12:00",76
"CV67","2019-12-18T12:00",132
"DC15","2019-12-18T12:00",230
"DC15A","2019-12-18T12:00",276
"FL82","2019-12-18T12:00",144
"GM24","2019-12-18T12:00",60
"KC06","2019-12-18T12:00",620
"KC33","2019-12-18T12:00",117
"KC35","2019-12-18T12:00",103
"KC35A","2019-12-18T12:00",46
"KF52","2019-12-18T12:00",131
"KL08","2019-12-18T12:00",626
"KM61","2019-12-18T12:00",145
"KPZ83","2019-12-18T12:00",143
"LC07","2019-12-18T12:00",405
"LC07A","2019-12-18T12:00",220
"LF09","2019-12-18T12:00",431
"LF10","2019-12-18T12:00",477
"MC12","2019-12-18T12:00",140
"MF40","2019-12-18T12:00",276
"ML22","2019-12-18T12:00",95
"MZ78","2019-12-18T12:00",115
"TB72","2019-12-18T12:00",188
"TC16","2019-12-18T12:00",163
"TC16A","2019-12-18T12:00",75
"TC93","2019-12-18T12:00",136
"TCD49","2019-12-18T12:00",94
"TCD49A","2019-12-18T12:00",142
"TCP45","2019-12-18T12:00",158
"TK36","2019-12-18T12:00",106
"TL94","2019-12-18T12:00",143
"UC11","2019-12-18T12:00",315
"UC32","2019-12-18T12:00",113
"VC53","2019-12-18T12:00",126
"VC57","2019-12-18T12:00",154
"VC59","2019-12-18T12:00",115
"VF01","2019-12-18T12:00",530
"VF02","2019-12-18T12:00",273
"VF63","2019-12-18T12:00",99
"VF66","2019-12-18T12:00",214
"VL13","2019-12-18T12:00",164
"VL13A","2019-12-18T12:00",201
"VML54","2019-12-18T12:00",56
"VML55A","2019-12-18T12:00",95
"VS18","2019-12-18T12:00",254
"511","2019-12-18T12:30",124
"AC03","2019-12-18T12:30",192
"AF04","2019-12-18T12:30",128
"AF04A","2019-12-18T12:30",68
"CV14","2019-12-18T12:30",237
"CV47","2019-12-18T12:30",171
"CV48","2019-12-18T12:30",82
"CV67","2019-12-18T12:30",100
"DC15","2019-12-18T12:30",250
"DC15A","2019-12-18T12:30",277
"FL82","2019-12-18T12:30",186
"GM24","2019-12-18T12:30",97
"KC06","2019-12-18T12:30",650
"KC33","2019-12-18T12:30",131
"KC35","2019-12-18T12:30",85
"KC35A","2019-12-18T12:30",93
"KF52","2019-12-18T12:30",115
"KL08","2019-12-18T12:30",714
"KM61","2019-12-18T12:30",139
"KPZ83","2019-12-18T12:30",187
"LC07","2019-12-18T12:30",352
"LC07A","2019-12-18T12:30",177
"LF09","2019-12-18T12:30",456
"LF10","2019-12-18T12:30",494
"MC12","2019-12-18T12:30",147
"MF40","2019-12-18T12:30",358
"ML22","2019-12-18T12:30",110
"MZ78","2019-12-18T12:30",146
"TB72","2019-12-18T12:30",205
"TC16","2019-12-18T12:30",177
"TC16A","2019-12-18T12:30",60
"TC93","2019-12-18T12:30",109
"TCD49","2019-12-18T12:30",69
"TCD49A","2019-12-18T12:30",137
"TCP45","2019-12-18T12:30",138
"TK36","2019-12-18T12:30",153
"TL94","2019-12-18T12:30",117
"UC11","2019-12-18T12:30",353
"UC32","2019-12-18T12:30",135
"VC53","2019-12-18T12:30",117
"VC57","2019-12-18T12:30",159
"VC59","2019-12-18T12:30",109
"VF01","2019-12-18T12:30",563
"VF02","2019-12-18T12:30",288
"VF63","2019-12-18T12:30",121
"VF66","2019-12-18T12:30",225
"VL13","2019-12-18T12:30",136
"VL13A","2019-12-18T12:30",183
"VML54","2019-12-18T12:30",78
"VML55A","2019-12-18T12:30",84
"VS18","2019-12-18T12:30",233
"511","2019-12-18T13:00",116
"AC03","2019-12-18T13:00",172
"AF04","2019-12-18T13:00",90
"AF04A","2019-12-18T13:00",128
"CV14","2019-12-18T13:00",250
"CV47","2019-12-18T13:00",187
"CV48","2019-12-18T13:00",78
"CV67","2019-12-18T13:00",91
"DC15","2019-12-18T13:00",209
"DC15A","2019-12-18T13:00",250
"FL82","2019-12-18T13:00",178
